id,author_id,topic,title,summary,body,town,image_path,views_count,likes_count,sort_order,published_at
"00000000-0000-0000-0000-000000003001","00000000-0000-0000-0000-000000002001","분실/실종","에어팟프로3 본체를 분실했습니다","에어팟 본체를 찾고 있어요","저녁 11시59분쯤에 1500번 버스에서 에어팟 본체를 두고내렸는데 중앙아파트로 위치가 뜨네요ㅠㅠ 찾으신 분 있으실까요?","계양2동","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059164501824946176","120","0","0","2026-05-26T06:47:39.750+00:00"
"00000000-0000-0000-0000-000000003002","00000000-0000-0000-0000-000000002002","일반","☆☆복층 커텐봉 달아주실분 찾습니다.^^","커텐봉 설치를 도와줄 이웃을 찾고 있어요","키가 닿질않아서 커텐공을 달수가 없네요. 일산 장항동입니다. 가능하신분은 쳇주시면 감사하겠습니다.^^","장항1동","","137","0","1","2026-05-26T06:38:25.462+00:00"
"00000000-0000-0000-0000-000000003003","00000000-0000-0000-0000-000000002003","고민/사연","일을해야 되는데 취업이안되요 ㅠ","일을해야 되는데 취업이안되요에 대해 조언을 구하고 있어요","46살입니다 8살아이 키우고 있어요 아침에 애 학교보내고 (아침늘봄신청했음)출근하고싶은데 불러주는곳이없네요 집에서 지하철멀지 버스도 2~30분에 한대씩오고 어디 가기가 힘드네요 요즘에 동네랑 풍무동 강서까지알아보고 있긴한데 정말갈곳이없어요 제가 못찼는건가요? 계속 알바만하고 있는데 저도 직장다니고싶어요 ㅠ","아라동","","154","0","2","2026-05-26T06:30:04.811+00:00"
"00000000-0000-0000-0000-000000003004","00000000-0000-0000-0000-000000002004","동네사건사고","어제밤 12~ 새벽1시쯤 태장로사고","어제밤 12 새벽1시쯤 태장로사고 상황을 공유하고 주의를 부탁하고 있어요","어제밤 12~ 새벽1시쯤 태장로사고 안녕하세요 어제밤 12~ 새벽1시쯤 장기동 태장로에서 김포ic가는 방향에서 자동차바퀴? 엔진부품 같은게 2차선 3차선에 있어서 박아서 범퍼가 나갔는데 사고 미처리인거 같은데 사고에대해 아시는분 계실까요?","장기동","","171","0","3","2026-05-26T06:22:23.208+00:00"
"00000000-0000-0000-0000-000000003005","00000000-0000-0000-0000-000000002005","생활/편의","교촌치킨 북변점 고유가지원금 사용가능 매장","교촌치킨 정보를 묻거나 나누고 있어요","교촌치킨 북변점은 고유가지원금 사용가능 매장이에요.","감정동","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059157012778893312","199","1","4","2026-05-26T06:17:48.011+00:00"
"00000000-0000-0000-0000-000000003006","00000000-0000-0000-0000-000000002006","분실/실종","안녕하세요! 검단 더제이마트 입구 주차장쪽에서 지갑을 잃어버렸습니다..","지갑을 찾고 있어요","안녕하세요! 검단 더제이마트 주차장 입구에서 아기를 데리고 나오다 지갑을 잃어버렸습니다..ㅠㅠ 성인 손바닥만한 루이비통 지갑이고 안에는 카드, 민증, 신분증, 아기 키즈카페 쿠폰 등이 있어요..!! 주우시거나 길바닥에서 보신 분이 계시다면 제가 꼭 사례금 드리겠습니다ㅜ 가족 관련된 소중한 자료가 들어있어서 꼭좀 부탁드립니다!","아라동","","216","1","5","2026-05-26T06:06:37.336+00:00"
"00000000-0000-0000-0000-000000003007","00000000-0000-0000-0000-000000002007","일반","이번주 오후6시이후로 세차하실분","함께 세차할 이웃을 찾고 있어요","느긋하게 세차 봉사하고싶네여 장비있으신분들만여","풍무동","","222","0","6","2026-05-26T06:04:49.453+00:00"
"00000000-0000-0000-0000-000000003008","00000000-0000-0000-0000-000000002008","일반","심심","심심해서 동네 이웃과 이야기하고 싶어해요","날씨가 우중충. 글 처음 테스트로 올려봄.","장기동","","239","0","7","2026-05-26T06:04:47.835+00:00"
"00000000-0000-0000-0000-000000003009","00000000-0000-0000-0000-000000002009","동네친구","연락할 사람","연락할 이웃을 찾고 있어요","02 남자인데 동네나 주변 친구 구해여 드라이브 가는거 좋아합니다","불로대곡동","","256","0","8","2026-05-26T06:01:14.448+00:00"
"00000000-0000-0000-0000-000000003010","00000000-0000-0000-0000-000000002010","일반","금판매시 해리값? 문의","금 판매 시 해리값을 궁금해하고 있어요","제가 저번에 당근으로 홍보하는 업체가 있길래 가서 14k 금을 판매했어요~ 근데 14k는 불순물? 들어있다고 예를들어 매입시세가 200이면 10프로인 20만원을 빼고 매입한다. 어디든 다 그렇다 라고 하던데 그게 맞나요? 잘 몰라가지고 ㅠ 그럼 400짜리는 40만원이 제외되는 건가요?","감정동","","292","0","9","2026-05-26T05:59:09.913+00:00"
