title,body,neighborhood,category,time,datetime,likeCount,commentCount,image,url
"에어팟프로3 본체를 분실했습니다","저녁 11시59분쯤에 1500번 버스에서 에어팟 본체를 두고내렸는데 중앙아파트로 위치가 뜨네요ㅠㅠ 찾으신 분 있으실까요?","계양2동","분실/실종","16분 전","2026-05-26T06:47:39.750+00:00","0","0","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059164501824946176","https://www.daangn.com/kr/community/%EC%97%90%EC%96%B4%ED%8C%9F%ED%94%84%EB%A1%9C3-%EB%B3%B8%EC%B2%B4%EB%A5%BC-%EB%B6%84%EC%8B%A4%ED%96%88%EC%8A%B5%EB%8B%88%EB%8B%A4-62kxabdx3zg9/"
"☆☆복층 커텐봉 달아주실분 찾습니다.^^","키가 닿질않아서 커텐공을 달수가 없네요. 일산 장항동입니다. 가능하신분은 쳇주시면 감사하겠습니다.^^","장항1동","일반","25분 전","2026-05-26T06:38:25.462+00:00","0","0","","https://www.daangn.com/kr/community/%EB%B3%B5%EC%B8%B5-%EC%BB%A4%ED%85%90%EB%B4%89-%EB%8B%AC%EC%95%84%EC%A3%BC%EC%8B%A4%EB%B6%84-%EC%B0%BE%EC%8A%B5%EB%8B%88%EB%8B%A4-9si8v6i8r5sf/"
"일을해야 되는데 취업이안되요 ㅠ","46살입니다 8살아이 키우고 있어요 아침에 애 학교보내고 (아침늘봄신청했음)출근하고싶은데 불러주는곳이없네요 집에서 지하철멀지 버스도 2~30분에 한대씩오고 어디 가기가 힘드네요 요즘에 동네랑 풍무동 강서까지알아보고 있긴한데 정말갈곳이없어요 제가 못찼는건가요? 계속 알바만하고 있는데 저도 직장다니고싶어요 ㅠ","아라동","고민/사연","33분 전","2026-05-26T06:30:04.811+00:00","0","0","","https://www.daangn.com/kr/community/%EC%9D%BC%EC%9D%84%ED%95%B4%EC%95%BC-%EB%90%98%EB%8A%94%EB%8D%B0-%EC%B7%A8%EC%97%85%EC%9D%B4%EC%95%88%EB%90%98%EC%9A%94-3a2cpqscivd5/"
"어제밤 12~ 새벽1시쯤 태장로사고","어제밤 12~ 새벽1시쯤 태장로사고 안녕하세요 어제밤 12~ 새벽1시쯤 장기동 태장로에서 김포ic가는 방향에서 자동차바퀴? 엔진부품 같은게 2차선 3차선에 있어서 박아서 범퍼가 나갔는데 사고 미처리인거 같은데 사고에대해 아시는분 계실까요?","장기동","동네사건사고","41분 전","2026-05-26T06:22:23.208+00:00","0","0","","https://www.daangn.com/kr/community/%EC%96%B4%EC%A0%9C%EB%B0%A4-12-%EC%83%88%EB%B2%BD1%EC%8B%9C%EC%AF%A4-%ED%83%9C%EC%9E%A5%EB%A1%9C%EC%82%AC%EA%B3%A0-2syxjvg9qkzv/"
"교촌치킨 북변점 고유가지원금 사용가능 매장","교촌치킨 북변점은 고유가지원금 사용가능 매장이에요.","감정동","생활/편의","약 1시간 전","2026-05-26T06:17:48.011+00:00","1","0","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059157012778893312","https://www.daangn.com/kr/community/%EA%B5%90%EC%B4%8C%EC%B9%98%ED%82%A8-%EB%B6%81%EB%B3%80%EC%A0%90-%EA%B3%A0%EC%9C%A0%EA%B0%80%EC%A7%80%EC%9B%90%EA%B8%88-%EC%82%AC%EC%9A%A9%EA%B0%80%EB%8A%A5-%EB%A7%A4%EC%9E%A5-php3z9g3djsw/"
"안녕하세요! 검단 더제이마트 입구 주차장쪽에서 지갑을 잃어버렸습니다..","안녕하세요! 검단 더제이마트 주차장 입구에서 아기를 데리고 나오다 지갑을 잃어버렸습니다..ㅠㅠ 성인 손바닥만한 루이비통 지갑이고 안에는 카드, 민증, 신분증, 아기 키즈카페 쿠폰 등이 있어요..!! 주우시거나 길바닥에서 보신 분이 계시다면 제가 꼭 사례금 드리겠습니다ㅜ 가족 관련된 소중한 자료가 들어있어서 꼭좀 부탁드립니다!","아라동","분실/실종","약 1시간 전","2026-05-26T06:06:37.336+00:00","1","0","","https://www.daangn.com/kr/community/%EC%95%88%EB%85%95%ED%95%98%EC%84%B8%EC%9A%94-%EA%B2%80%EB%8B%A8-%EB%8D%94%EC%A0%9C%EC%9D%B4%EB%A7%88%ED%8A%B8-%EC%9E%85%EA%B5%AC-%EC%A3%BC%EC%B0%A8%EC%9E%A5%EC%AA%BD%EC%97%90%EC%84%9C-%EC%A7%80%EA%B0%91%EC%9D%84-%EC%9E%83%EC%96%B4%EB%B2%84%EB%A0%B8%EC%8A%B5%EB%8B%88%EB%8B%A4-6fneyrmti242/"
"이번주 오후6시이후로 세차하실분","느긋하게 세차 봉사하고싶네여 장비있으신분들만여","풍무동","일반","약 1시간 전","2026-05-26T06:04:49.453+00:00","0","0","","https://www.daangn.com/kr/community/%EC%9D%B4%EB%B2%88%EC%A3%BC-%EC%98%A4%ED%9B%846%EC%8B%9C%EC%9D%B4%ED%9B%84%EB%A1%9C-%EC%84%B8%EC%B0%A8%ED%95%98%EC%8B%A4%EB%B6%84-m8mjzsifwafd/"
"심심","날씨가 우중충. 글 처음 테스트로 올려봄.","장기동","일반","약 1시간 전","2026-05-26T06:04:47.835+00:00","0","0","","https://www.daangn.com/kr/community/%EC%8B%AC%EC%8B%AC-3s7ay9zmyx5b/"
"연락할 사람","02 남자인데 동네나 주변 친구 구해여 드라이브 가는거 좋아합니다","불로대곡동","동네친구","약 1시간 전","2026-05-26T06:01:14.448+00:00","0","0","","https://www.daangn.com/kr/community/%EC%97%B0%EB%9D%BD%ED%95%A0-%EC%82%AC%EB%9E%8C-tn3r9r2cg1wv/"
"금판매시 해리값? 문의","제가 저번에 당근으로 홍보하는 업체가 있길래 가서 14k 금을 판매했어요~ 근데 14k는 불순물? 들어있다고 예를들어 매입시세가 200이면 10프로인 20만원을 빼고 매입한다. 어디든 다 그렇다 라고 하던데 그게 맞나요? 잘 몰라가지고 ㅠ 그럼 400짜리는 40만원이 제외되는 건가요?","감정동","일반","약 1시간 전","2026-05-26T05:59:09.913+00:00","0","1","","https://www.daangn.com/kr/community/%EA%B8%88%ED%8C%90%EB%A7%A4%EC%8B%9C-%ED%95%B4%EB%A6%AC%EA%B0%92-%EB%AC%B8%EC%9D%98-47b1x1gq3e28/"
