title,body,neighborhood,category,time,datetime,likeCount,commentCount,image,url
"원룸에 아들짐 라면 박스로 한10개","원룸 이사에서 아파트로 이사하는데 엘베비용15만원을 내라는데 무슨 가정집 이사짐도 아니고 가전은 전자레인지 하나밖에 없고 라면 박스 로 한10개 나와 용달차도 안부르고 아들차로 옮기는데 엘베 비용 넘 과한거 아닌가요? 다른곳도 이런가요?","장기본동","이사/시공","10분 전","2026-05-26T03:39:17.764+00:00","0","0","","https://www.daangn.com/kr/community/%EC%9B%90%EB%A3%B8%EC%97%90-%EC%95%84%EB%93%A4%EC%A7%90-%EB%9D%BC%EB%A9%B4-%EB%B0%95%EC%8A%A4%EB%A1%9C-%ED%95%9C10%EA%B0%9C-dcw9yawneezz/"
"혹시 검단에 mdf 합판 제작해주는 곳 있을까요???","가구용은 아니고.... 셀프인테리어 하기 전에 필름 연습용으로 해볼거라~~~^^;; 크기는 작아요... 한 요정도 만들어줄 곳 있을 까요???","마전동","생활/편의","16분 전","2026-05-26T03:33:54.228+00:00","0","2","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059115738955341824","https://www.daangn.com/kr/community/%ED%98%B9%EC%8B%9C-%EA%B2%80%EB%8B%A8%EC%97%90-mdf-%ED%95%A9%ED%8C%90-%EC%A0%9C%EC%9E%91%ED%95%B4%EC%A3%BC%EB%8A%94-%EA%B3%B3-%EC%9E%88%EC%9D%84%EA%B9%8C%EC%9A%94-6iemev38m72e/"
"A형 고양이 수혈가능한 고양이 키우시는분 찾습니다..","저희 고양이가 복막염에 걸려서 혈액 수치가 너무 낮아져서 2차례 수혈을 했는데도 수치가 계속 떨어지고 지금은 고양이 피가 귀해서 구할 수가없다네요 ㅠㅠ… 염치없지만 글 올려봅니다 읽어주셔서 감사합니다","오류왕길동","반려동물","18분 전","2026-05-26T03:31:56.883+00:00","0","0","","https://www.daangn.com/kr/community/a%ED%98%95-%EA%B3%A0%EC%96%91%EC%9D%B4-%EC%88%98%ED%98%88%EA%B0%80%EB%8A%A5%ED%95%9C-%EA%B3%A0%EC%96%91%EC%9D%B4-%ED%82%A4%EC%9A%B0%EC%8B%9C%EB%8A%94%EB%B6%84-%EC%B0%BE%EC%8A%B5%EB%8B%88%EB%8B%A4-p9smod5u28cp/"
"같이 친하게지내고 같이 마시고 노실분 구해여!","친하게 지내구 마시구 놀구 그러실분 구해요~ 저희방은 다 사이좋고 착하고 그러니 언제든 오셔서 친하게 지내시면 됩니다! 제가 방장이라 모르시는건 저한테 문의 주시면 되고! 누구든 환영합니다! 07~85년생 까지 입니다! 잘부탁드려요! 대화주시면 따로 링크 드릴게요! 오픈채팅입니다! 여기에 올리면 지워지더라구요…","통진읍","일반","18분 전","2026-05-26T03:31:25.360+00:00","0","0","","https://www.daangn.com/kr/community/%EA%B0%99%EC%9D%B4-%EC%B9%9C%ED%95%98%EA%B2%8C%EC%A7%80%EB%82%B4%EA%B3%A0-%EA%B0%99%EC%9D%B4-%EB%A7%88%EC%8B%9C%EA%B3%A0-%EB%85%B8%EC%8B%A4%EB%B6%84-%EA%B5%AC%ED%95%B4%EC%97%AC-qkf6z2vxkp68/"
"검단 물리치료 잘하는 곳","이 게시글은 '더블체크'님의 질문을 바탕으로 동네생활 봇이 정리한 내용이에요 🤖 비슷한 경험이나 의견이 있다면 댓글을 통해 답변을 남겨주세요.","감정동","병원/약국","20분 전","2026-05-26T03:29:45.817+00:00","0","0","","https://www.daangn.com/kr/community/%EA%B2%80%EB%8B%A8-%EB%AC%BC%EB%A6%AC%EC%B9%98%EB%A3%8C-%EC%9E%98%ED%95%98%EB%8A%94-%EA%B3%B3-5efa6ede47z8/"
"검단사거리 도수치료 잘하는 곳 어디인가요?","이 게시글은 '더블체크'님의 질문을 바탕으로 동네생활 봇이 정리한 내용이에요 🤖 비슷한 경험이나 의견이 있다면 댓글을 통해 답변을 남겨주세요.","감정동","병원/약국","20분 전","2026-05-26T03:29:02.587+00:00","0","0","","https://www.daangn.com/kr/community/%EA%B2%80%EB%8B%A8%EC%82%AC%EA%B1%B0%EB%A6%AC-%EB%8F%84%EC%88%98%EC%B9%98%EB%A3%8C-%EC%9E%98%ED%95%98%EB%8A%94-%EA%B3%B3-%EC%96%B4%EB%94%94%EC%9D%B8%EA%B0%80%EC%9A%94-ejzo33h7ihmj/"
"검단 도수치료 비용은 보통 얼마인가요?","이 게시글은 '더블체크'님의 질문을 바탕으로 동네생활 봇이 정리한 내용이에요 🤖 비슷한 경험이나 의견이 있다면 댓글을 통해 답변을 남겨주세요.","감정동","병원/약국","21분 전","2026-05-26T03:28:44.534+00:00","0","0","","https://www.daangn.com/kr/community/%EA%B2%80%EB%8B%A8-%EB%8F%84%EC%88%98%EC%B9%98%EB%A3%8C-%EB%B9%84%EC%9A%A9%EC%9D%80-%EB%B3%B4%ED%86%B5-%EC%96%BC%EB%A7%88%EC%9D%B8%EA%B0%80%EC%9A%94-sa6erwb729o4/"
"말티즈 눈물자국 효과좋은제품추천좀..","말티즈6개월아이 인데 데려올때부터 눈물자국이 심한데요 매일 눈소독티슈로 닦아주는데 안없어져요ㅠㅠ 눈가털부분도 잘라주고잇는데 눈물자국 잘 없어지는 그런제품추천해주실분 간식도 안주는편이고 사료,피부영양제 섞여서 주는데 눈물이 잘나네요","당하동","일반","40분 전","2026-05-26T03:09:57.639+00:00","0","0","","https://www.daangn.com/kr/community/%EB%A7%90%ED%8B%B0%EC%A6%88-%EB%88%88%EB%AC%BC%EC%9E%90%EA%B5%AD-%ED%9A%A8%EA%B3%BC%EC%A2%8B%EC%9D%80%EC%A0%9C%ED%92%88%EC%B6%94%EC%B2%9C%EC%A2%80-k635ktjztcx3/"
"인도어 골프연습장 오픈","남쪽에 동부 센트레빌 공사하는 쪽에 인도어 연습장이 크게 공사중이던데 혹시 언제쯤 오픈하는지 이름이 뭔지 아시는 분 계실까요? 아파트 커뮤니티는 기계 고장도 많고 공 날라가는거 보면서 연습하고 싶네요.","아라동","일반","약 1시간 전","2026-05-26T03:00:46.612+00:00","0","0","","https://www.daangn.com/kr/community/%EC%9D%B8%EB%8F%84%EC%96%B4-%EA%B3%A8%ED%94%84%EC%97%B0%EC%8A%B5%EC%9E%A5-%EC%98%A4%ED%94%88-own1usmuh67z/"
"기혼 여성 친구","서울에서 살다가 결혼 후 이사 왔어요~ 29살 여자예요! 주변에 아는 사람이 많지 않아서 편하게 수다 떨고 카페도 가고, 소소한 일상 공유할 수 있는 또래 기혼 친구를 찾고 있어요 😊 부담 없이 편하게 연락 주세요!","원당동","동네친구","약 1시간 전","2026-05-26T02:51:25.827+00:00","0","0","","https://www.daangn.com/kr/community/%EA%B8%B0%ED%98%BC-%EC%97%AC%EC%84%B1-%EC%B9%9C%EA%B5%AC-f9dhg53v5xtm/"
"갈비탕 맛집 추천해주세요","아라동에 살아요! 꼭 아라동 아니어도 괜찮아요! 너무너무 먹고싶어요♡.♡","아라동","일반","약 1시간 전","2026-05-26T02:50:10.705+00:00","0","3","","https://www.daangn.com/kr/community/%EA%B0%88%EB%B9%84%ED%83%95-%EB%A7%9B%EC%A7%91-%EC%B6%94%EC%B2%9C%ED%95%B4%EC%A3%BC%EC%84%B8%EC%9A%94-9vyt2uma8mm9/"
"운양역 근처 기계로 라인 잡아주는 바디관리샵 있을까요?","운양역 근처에 기계로 라인 잡아주는 바디 관리 샵 괜찮은곳 아시는분 계실까요?? 다이어트를 해도 다른 데는 빠지는거 같은데 이놈의 옆구리살이랑 러브핸들은 절대 안 빠지는거 같아요.. 나이 드니까 군살만 붙는 것 같고 바지 위로 툭 튀어나오는 게 스트레스라.. 기기관리 아시는 분 있으면 추천 해주세요 일단 운양역 근처 윤슬아 토탈뷰티 라고 새로 오픈 했던데 원장님이 경력이 15년정도?.. 오래 됐다고 하네요 기계 관리 엄청 꼼꼼하게 잘 만져주신다고 들었는데 한번 가보려고요 ㅜㅜ 손마사지는 별로 안좋아해서.. 여기가 보신 분 계시면 옆구리 군살 정리나 라인 잡는 데 효과 좀 보셨는지도 글 부탁드려요. 가격도 좀 너무 크면 부담이긴 한데 첫방문 할인 한다고 해서 일단 상담 부터 가보려고요!","운양동","미용","약 1시간 전","2026-05-26T02:48:01.963+00:00","0","1","","https://www.daangn.com/kr/community/%EC%9A%B4%EC%96%91%EC%97%AD-%EA%B7%BC%EC%B2%98-%EA%B8%B0%EA%B3%84%EB%A1%9C-%EB%9D%BC%EC%9D%B8-%EC%9E%A1%EC%95%84%EC%A3%BC%EB%8A%94-%EB%B0%94%EB%94%94%EA%B4%80%EB%A6%AC%EC%83%B5-%EC%9E%88%EC%9D%84%EA%B9%8C%EC%9A%94-ya3n5tj39odr/"
"김포 서울쪽 열심히 일할 자신 있습니다","행정사무나 사무보조 비서쪽으로 일하고싶은데, 연봉은 크게 바라지 않습니다. 혹시 구인중이신분 계시면 연락 부탁드립니다!!","구래동","고민/사연","약 1시간 전","2026-05-26T02:45:36.390+00:00","0","0","","https://www.daangn.com/kr/community/%EA%B9%80%ED%8F%AC-%EC%84%9C%EC%9A%B8%EC%AA%BD-%EC%97%B4%EC%8B%AC%ED%9E%88-%EC%9D%BC%ED%95%A0-%EC%9E%90%EC%8B%A0-%EC%9E%88%EC%8A%B5%EB%8B%88%EB%8B%A4-n6pauxod8mhr/"
"소금빵푸드트럭","KCC2차 스위첸에 소금빵푸드트럭이 왔어요.비가와도 영업해요.","운양동","맛집","약 1시간 전","2026-05-26T02:30:03.680+00:00","0","0","","https://www.daangn.com/kr/community/%EC%86%8C%EA%B8%88%EB%B9%B5%ED%91%B8%EB%93%9C%ED%8A%B8%EB%9F%AD-75ffnmb6hxko/"
"운양동 아기 미용실 어디 가시나요~?","추천해주실만한 미용실 있으신가요?!","운양동","미용","약 2시간 전","2026-05-26T02:09:17.806+00:00","0","0","","https://www.daangn.com/kr/community/%EC%9A%B4%EC%96%91%EB%8F%99-%EC%95%84%EA%B8%B0-%EB%AF%B8%EC%9A%A9%EC%8B%A4-%EC%96%B4%EB%94%94-%EA%B0%80%EC%8B%9C%EB%82%98%EC%9A%94-1ctv3173a413/"
"나무박스무료로 가져가세요~","와인박스인데 필요하신분 가져가세요^^","고촌읍","일반","약 2시간 전","2026-05-26T02:01:50.349+00:00","0","1","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059092573488410624","https://www.daangn.com/kr/community/%EB%82%98%EB%AC%B4%EB%B0%95%EC%8A%A4%EB%AC%B4%EB%A3%8C%EB%A1%9C-%EA%B0%80%EC%A0%B8%EA%B0%80%EC%84%B8%EC%9A%94-qqrs5dbo79sh/"
"강아지 잃어버리신분 갈색포메입니다 당근 글보니까 불로초에서 목격되고 지금은 다이소에서 목격됬어요","강아지 잃어 버리신분","당하동","반려동물","약 2시간 전","2026-05-26T01:50:07.321+00:00","1","0","https://community-api-cdn.kr.karrotmarket.com/v1/resource/images/load?id=kr-community%232059089569137283072","https://www.daangn.com/kr/community/%EA%B0%95%EC%95%84%EC%A7%80-%EC%9E%83%EC%96%B4%EB%B2%84%EB%A6%AC%EC%8B%A0%EB%B6%84-%EA%B0%88%EC%83%89%ED%8F%AC%EB%A9%94%EC%9E%85%EB%8B%88%EB%8B%A4-%EB%8B%B9%EA%B7%BC-%EA%B8%80%EB%B3%B4%EB%8B%88%EA%B9%8C-%EB%B6%88%EB%A1%9C%EC%B4%88%EC%97%90%EC%84%9C-%EB%AA%A9%EA%B2%A9%EB%90%98%EA%B3%A0-%EC%A7%80%EA%B8%88%EC%9D%80-%EB%8B%A4%EC%9D%B4%EC%86%8C%EC%97%90%EC%84%9C-%EB%AA%A9%EA%B2%A9%EB%90%AC%EC%96%B4%EC%9A%94-6i1fhr3veh28/"
